"Group","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"19","Specific conductivity","µS/cm",7,156.663210507962,154.7,152.3,163.242473555736,152.52072591384,160.805695102084
"20","Specific conductivity","µS/cm",7,156.233574792779,154.7,152.3,161.9,152.721098564443,159.746051021115
"All sites","pH","",140,7.5635,7.68,3.69,9.48,7.38203953042516,7.74496046957484
"1","pH","",7,7.27571428571429,7.22,6.38,8.12,6.63875899831049,7.91266957311808
"2","pH","",7,7.39142857142857,7.36,6.38,9.08,6.47369404051682,8.30916310234032
"3","pH","",7,7.75571428571429,7.53,7.29,8.82,7.26680238148825,8.24462618994032
"4","pH","",7,7.76,7.64,7.29,8.51,7.38722099960884,8.13277900039115
"5","pH","",7,7.58714285714286,7.79,6.82,8.12,7.14661088060823,8.02767483367748
"6","pH","",7,7.63428571428571,7.86,6.5,8.15,7.07084139871477,8.19773002985666
"7","pH","",7,5.62857142857143,5.88,3.69,7.66,4.19761428798975,7.05952856915311
"8","pH","",7,5.51142857142857,5.37,3.72,8.09,3.85328366590312,7.16957347695402
"9","pH","",7,8.13,8.22,7.24,8.85,7.60841104886535,8.65158895113465
"10","pH","",7,8.11571428571429,7.99,7.46,8.85,7.65738324050406,8.57404533092451
"11","pH","",7,7.80857142857143,7.76,6.52,9.18,6.9560658184003,8.66107703874255
"12","pH","",7,7.80285714285714,7.76,6.52,9.14,6.9594587642874,8.64625552142689
"13","pH","",7,7.67428571428571,7.57,6.45,8.58,6.99071568698872,8.35785574158271
"14","pH","",7,7.66714285714286,7.57,6.45,8.58,6.98226321628981,8.35202249799591
"15","pH","",7,8.42857142857143,8.46,7.12,9.48,7.74827149702778,9.10887136011508
"16","pH","",7,8.27571428571429,8.17,7.6,9.48,7.68535987831038,8.86606869311819
"17","pH","",7,7.60285714285714,7.51,6.39,8.52,6.88112748035128,8.32458680536301
"18","pH","",7,7.62428571428571,7.51,6.39,8.67,6.87404145760552,8.37452997096591
"19","pH","",7,7.81714285714286,7.76,6.59,9.34,6.94404545787877,8.69024025640695
"20","pH","",7,7.77857142857143,7.76,6.59,9.07,6.96988334873968,8.58725950840318
"All sites","Presence Kōura","",136,0.669117647058823,1,0,1,0.58902735486972,0.749207939247927
"1","Presence Kōura","",6,0.666666666666667,1,0,1,0.124740432502177,1.20859290083116
"2","Presence Kōura","",6,0.833333333333333,1,0,1,0.404903027393948,1.26176363927272
"3","Presence Kōura","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"4","Presence Kōura","",7,0.285714285714286,0,0,1,-0.165564230910573,0.736992802339144
"5","Presence Kōura","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"6","Presence Kōura","",7,0.428571428571429,0,0,1,-0.0657794179743815,0.922922275117239
"7","Presence Kōura","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"8","Presence Kōura","",7,0,0,0,0,0,0
"9","Presence Kōura","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"10","Presence Kōura","",7,1,1,1,1,1,1
"11","Presence Kōura","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"12","Presence Kōura","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"13","Presence Kōura","",6,0.166666666666667,0,0,1,-0.261763639272719,0.595096972606052
"14","Presence Kōura","",6,0.5,0.5,0,1,-0.0747995726208989,1.0747995726209
"15","Presence Kōura","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"16","Presence Kōura","",7,0.571428571428571,1,0,1,0.0770777248827613,1.06577941797438
"17","Presence Kōura","",7,1,1,1,1,1,1
"18","Presence Kōura","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"19","Presence Kōura","",7,1,1,1,1,1,1
"20","Presence Kōura","",7,1,1,1,1,1,1
"All sites","Presence Catfish","",136,0.257352941176471,0,0,1,0.182940143292913,0.331765739060028
"1","Presence Catfish","",6,0,0,0,0,0,0
"2","Presence Catfish","",6,0,0,0,0,0,0
"3","Presence Catfish","",7,0,0,0,0,0,0
"4","Presence Catfish","",7,0,0,0,0,0,0
"5","Presence Catfish","",7,0.571428571428571,1,0,1,0.0770777248827613,1.06577941797438
"6","Presence Catfish","",7,0.571428571428571,1,0,1,0.0770777248827613,1.06577941797438
"7","Presence Catfish","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"8","Presence Catfish","",7,0,0,0,0,0,0
"9","Presence Catfish","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"10","Presence Catfish","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"11","Presence Catfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"12","Presence Catfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"13","Presence Catfish","",6,0.166666666666667,0,0,1,-0.261763639272719,0.595096972606052
"14","Presence Catfish","",6,0,0,0,0,0,0
"15","Presence Catfish","",7,0,0,0,0,0,0
"16","Presence Catfish","",7,0.285714285714286,0,0,1,-0.165564230910573,0.736992802339144
"17","Presence Catfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"18","Presence Catfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
