"Site_ID.x","ID","Monitoring","Monitoring_ID","Monitoring_ID.","Lake","Site","LID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Notes","Distance_5m","Distance_20m","Distance_deep_20m","Calculated_slope","Total_ weight_reef","Site_ID.y","Shear_stress","Bottom_visible","Water_clarity","Depth_10m","Slope","Riparian_vegetation","Riparian_species","Overhanging_trees","Erosion","Sructure","Bedrock","Boulders","Cobble","Gravel","Sand","Mud","Organic_matter","Rock_size","Temperature","DO_mgl","DO_percent","Conductivity","Specific_conductivity","pH","Vegetation_nearby","Vegetation_species","Wood_cover","Other","pH1","Reef_shape.1","Distance_to_shore.1","Length.1","Width.1","Area.1","Weight.1","Depth_on_R.1","Depth_on_L.1","Hight_above.1","Depth_after.1","Volume.1","Sedimentation.1","Accumulation_of_weeds.1","Reef_shape.2","Distance_to_shore.2","Length.2","Width.2","Area.2","Weight.2","Depth_on_R.2","Depth_on_L.2","Hight_above.2","Depth_after.2","Volume.2","Sedimentation.2","Accumulation_of_weeds.2","Reef_shape.3","Distance_to_shore.3","Length.3","Width.3","Area.3","Weight.3","Depth_on_R.3","Depth_on_L.3","Hight_above.3","Depth_after.3","Volume.3","Sedimentation.3","Accumulation_of_weeds.3","Emergent_Native","Emergent_Non_Native","Submerged_Non_Native","Turf_Native","Total_Individuals_Bullies","Total_Individuals_Common_smelt","Total_Individuals_Goldfish","Total_Individuals_Kōaro","Total_Individuals_Kōura","Total_Individuals_Trout","Total_Individuals_Catfish","Total_Individuals_Eel","Total_Individuals_Mosquitofish","Weighted_CPUE_Bullies","Weighted_CPUE_Common_smelt","Weighted_CPUE_Goldfish","Weighted_CPUE_Kōaro","Weighted_CPUE_Kōura","Weighted_CPUE_Trout","Weighted_CPUE_Catfish","Weighted_CPUE_Eel","Weighted_CPUE_Mosquitofish","Weighted_BCUE_Bullies","Weighted_BCUE_Common_smelt","Weighted_BCUE_Goldfish","Weighted_BCUE_Kōaro","Weighted_BCUE_Kōura","Weighted_BCUE_Trout","Weighted_BCUE_Catfish","Weighted_BCUE_Eel","Weighted_BCUE_Mosquitofish","Total_Weight_Bullies","Total_Weight_Common_smelt","Total_Weight_Goldfish","Total_Weight_Kōaro","Total_Weight_Kōura","Total_Weight_Trout","Total_Weight_Catfish","Total_Weight_Eel","Total_Weight_Mosquitofish","Mean_Length_Bullies","Mean_Length_Common_smelt","Mean_Length_Goldfish","Mean_Length_Kōaro","Mean_Length_Kōura","Mean_Length_Trout","Mean_Length_Catfish","Mean_Length_Eel","Mean_Length_Mosquitofish","Mean_Weight_Bullies","Mean_Weight_Common_smelt","Mean_Weight_Goldfish","Mean_Weight_Kōaro","Mean_Weight_Kōura","Mean_Weight_Trout","Mean_Weight_Catfish","Mean_Weight_Eel","Mean_Weight_Mosquitofish","Weighted_CPUE_numerator_Bullies","Weighted_CPUE_numerator_Common_smelt","Weighted_CPUE_numerator_Goldfish","Weighted_CPUE_numerator_Kōaro","Weighted_CPUE_numerator_Kōura","Weighted_CPUE_numerator_Trout","Weighted_CPUE_numerator_Catfish","Weighted_CPUE_numerator_Eel","Weighted_CPUE_numerator_Mosquitofish","Weighted_BCUE_numerator_Bullies","Weighted_BCUE_numerator_Common_smelt","Weighted_BCUE_numerator_Goldfish","Weighted_BCUE_numerator_Kōaro","Weighted_BCUE_numerator_Kōura","Weighted_BCUE_numerator_Trout","Weighted_BCUE_numerator_Catfish","Weighted_BCUE_numerator_Eel","Weighted_BCUE_numerator_Mosquitofish","Total_Effort_sum_Bullies","Total_Effort_sum_Common_smelt","Total_Effort_sum_Goldfish","Total_Effort_sum_Kōaro","Total_Effort_sum_Kōura","Total_Effort_sum_Trout","Total_Effort_sum_Catfish","Total_Effort_sum_Eel","Total_Effort_sum_Mosquitofish","Min_Length_Bullies","Min_Length_Common_smelt","Min_Length_Goldfish","Min_Length_Kōaro","Min_Length_Kōura","Min_Length_Trout","Min_Length_Catfish","Min_Length_Eel","Min_Length_Mosquitofish","Max_Length_Bullies","Max_Length_Common_smelt","Max_Length_Goldfish","Max_Length_Kōaro","Max_Length_Kōura","Max_Length_Trout","Max_Length_Catfish","Max_Length_Eel","Max_Length_Mosquitofish","Min_Weight_Bullies","Min_Weight_Common_smelt","Min_Weight_Goldfish","Min_Weight_Kōaro","Min_Weight_Kōura","Min_Weight_Trout","Min_Weight_Catfish","Min_Weight_Eel","Min_Weight_Mosquitofish","Max_Weight_Bullies","Max_Weight_Common_smelt","Max_Weight_Goldfish","Max_Weight_Kōaro","Max_Weight_Kōura","Max_Weight_Trout","Max_Weight_Catfish","Max_Weight_Eel","Max_Weight_Mosquitofish","Richness","Abundance","Presence_Bullies","Presence_Eel","Presence_Goldfish","Presence_Common_smelt","Presence_Kōaro","Presence_Kōura","Presence_Mosquitofish","Presence_Catfish","Presence_Trout","Predator_Fish_Presence","Dragonfly larvae Small","Caddisfly larvae","diving beatle","Invertebrates_Richness","Invertebrates_Abundance","Presence_rocks","Slope_5m","Site_ID_","Monitoring_ID_","Date","Time","Year","Month","Day","Season","Date_Time_Numeric","Monitoring_label","Habitat_Type","Substrate_index"
17,15,"0","17_0","15_0","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2025-02-06 10:00:00,"Sunny",3,1,1,"Left",57.9411293181277,639.033952746429,638.656123016178,0.0313157570705595,NA,17,NA,1,NA,0.7,0.07,100,"Native forest",100,0,0,50,0,0,0,20,0,30,NA,23.2,8.99,105.3,160.9,167.220951985034,8.23,1,"Hornwort",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,10,16,1,17,0,0,0,0,0.25,2.5,4,0.25,4.25,0,0,0,0,179.25,0,195.75,1.75,73.5,0,0,0,0,717,0,783,7,294,NA,NA,NA,NA,NA,NA,109.125,100,27.33,NA,NA,NA,NA,358.5,NA,48.9375,7,17.2941176470588,NA,NA,NA,NA,1,10,16,1,17,NA,NA,NA,NA,717,0,783,7,294,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,72,100,20.75,NA,NA,NA,NA,NA,NA,182,100,36.22,NA,NA,NA,NA,349,NA,10,7,5,NA,NA,NA,NA,368,NA,175,7,38,NA,NA,NA,NA,5,34,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0.0862944864700053,15,"15_0",2025-02-06,"10:00:00",2025,"Feb",6,"Summer",1738836000,"0 Pre/Summer","Rocky",5.2
18,16,"0","18_0","16_0","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2025-02-06 10:15:00,"Sunny",3,1,1,"Right",27.586278169075,565.618637286375,565.447481720974,0.0353702167690778,NA,18,NA,1,NA,0.5,0.05,100,"Native forest",100,0,0,50,0,0,0,20,0,30,NA,23.4,9.08,106.7,160.5,166.080298013245,8.1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,6,0,0,1,1,0,0,0,0.5,1.5,0,0,0.25,0.25,0,0,0,27.75,1,0,0,8.75,2.75,0,0,0,111,4,NA,NA,35,11,NA,NA,NA,NA,NA,NA,NA,36.99,97,NA,NA,NA,111,4,NA,NA,35,11,NA,NA,NA,2,6,NA,NA,1,1,NA,NA,NA,111,4,NA,NA,35,11,NA,NA,NA,4,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,36.99,97,NA,NA,NA,NA,NA,NA,NA,36.99,97,NA,NA,NA,111,4,NA,NA,35,11,NA,NA,NA,111,4,NA,NA,35,11,NA,NA,NA,4,2,1,0,0,1,0,1,0,0,1,1,3,0,0,1,3,0,0.181249531718459,16,"16_0",2025-02-06,"10:15:00",2025,"Feb",6,"Summer",1738836900,"0 Pre/Summer","Rocky",5.2
19,17,"0","19_0","17_0","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2025-02-06 13:09:00,"Sunny",3.5,1,1,"Left",13.9155980353024,411.557104130868,410.694566686954,0.0486979902396535,NA,19,NA,1,NA,0.8,0.08,100,"Native forest",100,0,0,0,50,0,0,50,0,0,NA,25.3,9.66,116.8,159.8,158.799562754646,8.52,0,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,8,0,12,0,6,0,0,0.75,0,2,0,3,0,1.5,0,0,265.25,0,119.75,0,55,0,725,0,0,1061,NA,479,NA,220,NA,2900,NA,NA,NA,NA,122.75,NA,27.1233333333333,NA,324.166666666667,NA,NA,353.666666666667,NA,59.875,NA,18.3333333333333,NA,483.333333333333,NA,NA,3,NA,8,NA,12,NA,6,NA,NA,1061,NA,479,NA,220,NA,2900,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,90,NA,16.95,NA,273,NA,NA,NA,NA,190,NA,42.13,NA,351,NA,NA,269,NA,17,NA,5,NA,300,NA,NA,456,NA,166,NA,50,NA,600,NA,NA,4,26,1,0,1,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,1,0.359309027705136,17,"17_0",2025-02-06,"13:09:00",2025,"Feb",6,"Summer",1738847340,"0 Pre/Summer","Rocky",5
20,18,"0","20_0","18_0","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2025-02-06 13:30:00,"Sunny",3.5,1,1,"Right",10.2582815366794,393.995431341253,393.146305968451,0.0508716467543382,NA,20,NA,1,NA,1.1,0.11,100,"Native forest",100,0,0,0,80,0,0,20,0,0,NA,25.4,9.86,120.1,161.2,159.857199523998,8.67,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8,3,6,0,15,0,4,0,0,2,0.75,1.5,0,3.75,0,1,0,0,172,0,107.25,0,58.5,0,232.25,0,0,688,0,429,NA,234,NA,929,NA,NA,NA,NA,122.5,NA,26.0525,NA,226.5,NA,NA,173,NA,71.5,NA,19.625,NA,232.25,NA,NA,8,3,6,NA,15,NA,4,NA,NA,688,0,429,NA,234,NA,929,NA,NA,4,4,4,NA,4,NA,4,NA,NA,NA,NA,67,NA,16.05,NA,170,NA,NA,NA,NA,179,NA,36.82,NA,365,NA,NA,4,NA,7,NA,4,NA,60,NA,NA,344,NA,150,NA,50,NA,700,NA,NA,5,25,1,0,1,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,1,0.487411071934617,18,"18_0",2025-02-06,"13:30:00",2025,"Feb",6,"Summer",1738848600,"0 Pre/Summer","Rocky",6.2
21,19,"0","21_0","19_0","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2025-02-06 15:20:00,"Sunny",3.5,1,1,"Right",142.695643156613,187.90193049333,187.539175274033,0.106644384943977,NA,21,NA,1,NA,0.8,0.08,100,"Native forest",100,0,0,0,0,90,0,10,0,0,NA,24.2,10.95,132,160.5,163.242473555736,9.34,1,"Hornwort",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9,5,3,1,13,0,0,0,0,2.25,1.25,0.75,0.25,3.25,0,0,0,0,385,0,20,3.75,58.75,0,0,0,0,1540,0,80,15,235,NA,NA,NA,NA,NA,NA,101.666666666667,115,28.761,NA,NA,NA,NA,259,NA,26.6666666666667,15,18.5125,NA,NA,NA,NA,9,5,3,1,13,NA,NA,NA,NA,1540,0,80,15,235,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,95,115,13.95,NA,NA,NA,NA,NA,NA,115,115,35.65,NA,NA,NA,NA,7,NA,21,15,1,NA,NA,NA,NA,617,NA,38,15,30,NA,NA,NA,NA,5,17,1,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,0.0350396122081481,19,"19_0",2025-02-06,"15:20:00",2025,"Feb",6,"Summer",1738855200,"0 Pre/Summer","Rocky",5.7
22,20,"0","22_0","20_0","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2025-02-06 15:40:00,"Sunny",3.5,1,1,"Left",112.652050534812,153.52894194799,153.452603021804,0.130333403319057,NA,22,NA,1,NA,0.9,0.09,100,"Native forest",100,0,0,0,0,90,0,10,0,0,NA,24.9,10.9,131.4,159.2,159.535023549454,9.07,1,"Hornwort",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,15,20,2,1,26,0,0,0,0,3.75,5,0.5,0.25,6.5,0,0,0,0,619,0,19,1.5,100.75,0,0,0,0,2476,0,76,6,403,NA,NA,NA,NA,NA,NA,111.5,95,29.4823863636364,NA,NA,NA,NA,253.6,NA,38,6,18.9772727272727,NA,NA,NA,NA,15,20,2,1,26,NA,NA,NA,NA,2476,0,76,6,403,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,110,95,12.53,NA,NA,NA,NA,NA,NA,113,95,40.79,NA,NA,NA,NA,15,NA,36,6,1,NA,NA,NA,NA,587,NA,40,6,40,NA,NA,NA,NA,5,29,1,0,1,1,1,1,0,0,0,0,4,0,0,1,4,1,0.0443844561751221,20,"20_0",2025-02-06,"15:40:00",2025,"Feb",6,"Summer",1738856400,"0 Pre/Summer","Rocky",5.7
3,1,"1","3_1","1_1","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-04-28 13:00:00,"Cloudy",5,0,0,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,10.18,107.2,129,151.604183805383,7.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,40,1,42,12,0,0,0,0,3.75,10,0.25,10.5,3,0,0,0,0,683.75,0,2.25,80.25,51.75,0,0,0,0,2735,0,9,321,207,NA,NA,NA,NA,NA,NA,100,80.5487804878049,27.8636363636364,NA,NA,NA,NA,233.333333333333,NA,9,5.3780487804878,22.1363636363636,NA,NA,NA,NA,15,40,1,42,12,NA,NA,NA,NA,2735,0,9,321,207,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,100,50,20,NA,NA,NA,NA,NA,NA,100,150,35,NA,NA,NA,NA,13,NA,9,1,6,NA,NA,NA,NA,675,NA,9,26,42,NA,NA,NA,NA,5,55,1,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.0602490197369712,1,"1_1",2025-04-28,"13:00:00",2025,"Apr",28,"Autumn",1745845200,"1 Autumn","Sandy",0
4,2,"1","4_1","2_1","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-04-28 12:30:00,"Cloudy",5,0,0,NA,105.445519540936,180.302636624781,179.82545515734,0.111218959420961,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,10.01,104.8,128.5,152.143026284632,7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,1,31,21,0,0,0,0,4.25,0,0.25,7.75,5.25,0,0,0,0,779.25,0,21.25,58.25,114.25,0,0,0,0,3117,NA,85,233,457,NA,NA,NA,NA,NA,NA,145,97.5806451612903,28.9047619047619,NA,NA,NA,NA,229.928571428571,NA,85,7.51612903225806,21.7619047619048,NA,NA,NA,NA,17,NA,1,31,21,NA,NA,NA,NA,3117,NA,85,233,457,NA,NA,NA,NA,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,145,70,21,NA,NA,NA,NA,NA,NA,145,120,40,NA,NA,NA,NA,17,NA,85,2,7,NA,NA,NA,NA,557,NA,85,15,53,NA,NA,NA,NA,4,53,1,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.047417851623927,2,"2_1",2025-04-28,"12:30:00",2025,"Apr",28,"Autumn",1745843400,"1 Autumn","Sandy",0
5,3,"1","5_1","3_1","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-04-28 10:50:00,"Cloudy",5,0,0,NA,75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,10.36,109.3,142,166.882124809026,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,5,0,0,0,0,0,1,0,0,1.25,0,0,0,0,0,333,0,0,4.5,0,0,0,0,0,1332,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,62.6,NA,NA,NA,NA,NA,266.4,NA,NA,3.6,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,1332,NA,NA,18,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,50,NA,NA,1,NA,NA,NA,NA,NA,499,NA,NA,7,NA,NA,NA,NA,NA,2,5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,0.0665751987811884,3,"3_1",2025-04-28,"10:50:00",2025,"Apr",28,"Autumn",1745837400,"1 Autumn","Sandy",0
6,4,"1","6_1","4_1","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-04-28 10:30:00,"Cloudy",5,0,0,NA,73.1064213892519,1435.7027457702,1433.76093577721,0.0139493269072493,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,10.2,107.7,142.7,168.119698397738,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,0,24,1,0,0,0,0,2.5,2.25,0,6,0.25,0,0,0,0,337.75,2,0,33.25,8.5,0,0,0,0,1351,8,NA,133,34,NA,NA,NA,NA,NA,NA,NA,72.0833333333333,35,NA,NA,NA,NA,229.833333333333,8,NA,5.54166666666667,34,NA,NA,NA,NA,10,9,NA,24,1,NA,NA,NA,NA,1351,8,NA,133,34,NA,NA,NA,NA,4,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,42,35,NA,NA,NA,NA,NA,NA,NA,150,35,NA,NA,NA,NA,14,8,NA,1,34,NA,NA,NA,NA,538,8,NA,48,34,NA,NA,NA,NA,4,25,1,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.0683934448572954,4,"4_1",2025-04-28,"10:30:00",2025,"Apr",28,"Autumn",1745836200,"1 Autumn","Sandy",0
7,5,"1","7_1","5_1","Rotoiti","Reef",54730,-38.0222760864304,176.348643537609,150,"Sandy",2025-04-28 09:00:00,"Cloudy",5,0,0,NA,267.55142706579,1689.68543182272,1687.01869857311,0.0118552331500037,3700,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,8.26,85.3,139,167.490059043258,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,10,0,2,0,0,0,0,2.75,0.5,2.5,0,0.5,0,0,0,0,365.75,0.25,141.75,0,17.5,0,0,0,0,1463,1,567,NA,70,NA,NA,NA,NA,NA,NA,130.2,NA,38.19,NA,NA,NA,NA,251.833333333333,1,56.7,NA,35,NA,NA,NA,NA,11,2,10,NA,2,NA,NA,NA,NA,1463,1,567,NA,70,NA,NA,NA,NA,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,80,NA,31.71,NA,NA,NA,NA,NA,NA,192,NA,44.67,NA,NA,NA,NA,24,1,12,NA,21,NA,NA,NA,NA,582,1,137,NA,49,NA,NA,NA,NA,4,12,1,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.018687996004486,5,"5_1",2025-04-28,"09:00:00",2025,"Apr",28,"Autumn",1745830800,"1 Autumn","Sandy",0
8,6,"1","8_1","6_1","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2025-04-28 08:30:00,"Cloudy",5,0,0,NA,220.524873221001,1741.06263130931,1738.07490007139,0.0115069839620712,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,3.21,32.2,36.6,45.246631227593,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,90,0,65,0,7,0,3,0,4,0,10,16.25,0,1.75,0,0.75,0,1,0,2.5,121.75,0,2,0,17,0,49.75,0,1.5,487,NA,8,NA,68,NA,199,NA,6,NA,NA,NA,NA,29.8166666666667,NA,133.75,NA,NA,140,NA,4,NA,34,NA,49.75,NA,6,65,NA,7,NA,3,NA,4,NA,10,487,NA,8,NA,68,NA,199,NA,6,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,21.28,NA,95,NA,NA,NA,NA,NA,NA,38.35,NA,245,NA,NA,73,NA,0,NA,29,NA,4,NA,6,213,NA,8,NA,39,NA,179,NA,6,5,24,1,0,1,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,0.022673179342401,6,"6_1",2025-04-28,"08:30:00",2025,"Apr",28,"Autumn",1745829000,"1 Autumn","Sandy",0
9,7,"1","9_1","7_1","Rotoiti","Reef",54730,-38.0400700989088,176.368333417899,150,"Sandy",2025-04-28 11:44:00,"Cloudy",5,0,0,NA,130.678248479696,334.104864132139,332.37012426407,0.0601738800810806,1920,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,9.68,102.2,139.2,163.591491362087,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,11,2,80,2,0,0,0,0,11.75,2.75,0.5,20,0.5,0,0,0,0,302,62.5,77.75,96.5,18.5,0,0,0,0,1208,250,311,386,74,NA,NA,NA,NA,NA,NA,188.5,76.25,38.5,NA,NA,NA,NA,219.333333333333,250,155.5,4.825,37,NA,NA,NA,NA,47,11,2,80,2,NA,NA,NA,NA,1208,250,311,386,74,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,180,45,37,NA,NA,NA,NA,NA,NA,197,150,40,NA,NA,NA,NA,54,250,108,1,35,NA,NA,NA,NA,511,250,203,40,39,NA,NA,NA,NA,5,84,1,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.0382619147269706,7,"7_1",2025-04-28,"11:44:00",2025,"Apr",28,"Autumn",1745840640,"1 Autumn","Sandy",0
10,8,"1","10_1","8_1","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2025-04-28 11:30:00,"Cloudy",5,0,0,"1 fyke net colappsed",69.5081840126718,381.61439291614,380.359464057203,0.0525818387339829,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,9.59,101.2,138.9,163.238923492772,7.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,0,14,0,0,0,0,0,1.66666666666667,4,0,4.66666666666667,0,0,0,0,0,336.333333333333,223.666666666667,0,25.6666666666667,0,0,0,0,0,1009,671,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,85.7142857142857,NA,NA,NA,NA,NA,131.375,335.5,NA,5.5,NA,NA,NA,NA,NA,5,12,NA,14,NA,NA,NA,NA,NA,1009,671,NA,77,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,14,321,NA,1,NA,NA,NA,NA,NA,399,350,NA,15,NA,NA,NA,NA,NA,3,14,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.0719339754163116,8,"8_1",2025-04-28,"11:30:00",2025,"Apr",28,"Autumn",1745839800,"1 Autumn","Sandy",0
