site_id,site_type,eff_fetch_m,wind_spd_ms,wind_dir_deg,wave_energy_proxy,round
6,Control,77.30312244636053,8.211843285127188,122.53689862515307,5212.887371986077,2
7,Stone_pile,614.9098886689649,8.211843285127188,122.53689862515307,41466.06103493463,2
8,Control,81.80115511490594,8.211843285127188,122.53689862515307,5516.209371856278,2
9,Stone_pile,1889.1757474617546,8.211843285127188,122.53689862515307,127395.37661288076,2
10,Control,1783.2107485229697,8.211843285127188,122.53689862515307,120249.69365261224,2
11,Reference,4465.52037025347,8.211843285127188,122.53689862515307,301129.55351309816,2
12,Reference,4171.273303876658,8.211843285127188,122.53689862515307,281287.18792658555,2
13,Reference,59.52224987915952,8.211843285127188,122.53689862515307,4013.845429886366,2
14,Reference,144.1280177708963,8.211843285127188,122.53689862515307,9719.182097833394,2
15,Reference,517.8860469035495,8.211843285127188,122.53689862515307,34923.31937697045,2
16,Reference,463.55621000249596,8.211843285127188,122.53689862515307,31259.621045766766,2
17,Reference,3404.292656374875,8.211843285127188,122.53689862515307,229566.3310531258,2
18,Reference,3390.500171557058,8.211843285127188,122.53689862515307,228636.24352677783,2
19,Reference,166.74860475511917,8.211843285127188,122.53689862515307,11244.587133299976,2
20,Reference,565.2645747924597,8.211843285127188,122.53689862515307,38118.2605632953,2
1,Stone_pile,4533.806134759232,7.862663757789022,297.5367099237742,280286.61148636404,3
2,Control,4545.203728955059,7.862663757789022,297.5367099237742,280991.2276435819,3
3,Stone_pile,226.65968169340428,7.862663757789022,297.5367099237742,14012.437288696707,3
4,Control,183.15264688822379,7.862663757789022,297.5367099237742,11322.767947109181,3
5,Stone_pile,173.57551261862258,7.862663757789022,297.5367099237742,10730.695319301727,3
6,Control,76.38722131985304,7.862663757789022,297.5367099237742,4722.371179582329,3
7,Stone_pile,387.8301120072324,7.862663757789022,297.5367099237742,23976.232043423468,3
8,Control,900.9263018626447,7.862663757789022,297.5367099237742,55696.59858458676,3
9,Stone_pile,32.20786994220025,7.862663757789022,297.5367099237742,1991.1382315362775,3
10,Control,28.47983628492825,7.862663757789022,297.5367099237742,1760.6656682537773,3
11,Reference,93.01795572296959,7.862663757789022,297.5367099237742,5750.50781662157,3
12,Reference,220.24350068778472,7.862663757789022,297.5367099237742,13615.779474203768,3
13,Reference,1287.0155038833902,7.862663757789022,297.5367099237742,79565.20499371718,3
14,Reference,1207.4989827249728,7.862663757789022,297.5367099237742,74649.37586247001,3
15,Reference,483.3247432020729,7.862663757789022,297.5367099237742,29879.851606584012,3
16,Reference,570.5623370266977,7.862663757789022,297.5367099237742,35273.00888780648,3
17,Reference,69.01421688800504,7.862663757789022,297.5367099237742,4266.561123472295,3
18,Reference,142.2873846959704,7.862663757789022,297.5367099237742,8796.416901890352,3
19,Reference,111.18181138831312,7.862663757789022,297.5367099237742,6873.424281208536,3
20,Reference,113.35148118928979,7.862663757789022,297.5367099237742,7007.556482384433,3
1,Stone_pile,4762.700882556267,8.941181639382302,323.4813006249579,380752.8318804279,4
2,Control,4794.11686573705,8.941181639382302,323.4813006249579,383264.37414549047,4
3,Stone_pile,524.7052101039917,8.941181639382302,323.4813006249579,41947.415883543996,4
4,Control,501.3319908083959,8.941181639382302,323.4813006249579,40078.85019856573,4
5,Stone_pile,97.03710886242075,8.941181639382302,323.4813006249579,7757.605381471187,4
6,Control,25.074927798471894,8.941181639382302,323.4813006249579,2004.6083102622063,4
7,Stone_pile,584.7757315980787,8.941181639382302,323.4813006249579,46749.73745179073,4
8,Control,983.8531497550791,8.941181639382302,323.4813006249579,78653.87353964266,4
9,Stone_pile,0,8.941181639382302,323.4813006249579,0,4
10,Control,3.7031229349151134,8.941181639382302,323.4813006249579,296.0451598869926,4
11,Reference,107.25464133660252,8.941181639382302,323.4813006249579,8574.443247276206,4
12,Reference,233.5888180937598,8.941181639382302,323.4813006249579,18674.194785263306,4
13,Reference,838.2552695876429,8.941181639382302,323.4813006249579,67014.09045089573,4
14,Reference,775.3841066757593,8.941181639382302,323.4813006249579,61987.872363173396,4
15,Reference,351.549771441954,8.941181639382302,323.4813006249579,28104.55124605651,4
16,Reference,401.069699192518,8.941181639382302,323.4813006249579,32063.40845554423,4
17,Reference,76.6458144686683,8.941181639382302,323.4813006249579,6127.428874992457,4
18,Reference,234.62115285426336,8.941181639382302,323.4813006249579,18756.724508040974,4
19,Reference,58.39197090077415,8.941181639382302,323.4813006249579,4668.1302957695525,4
20,Reference,73.558579560488,8.941181639382302,323.4813006249579,5880.6207165639025,4
1,Stone_pile,2556.8393107754787,9.924441803314837,17.13293517611538,251834.72482750556,5
